Status key: 0 means file exported 1 means no data in file 2 means no data in website
Year,State,District,Tehsil,Crop,Status,Filename
2000,ANDHRAPRADESH,GUNTUR,AMARAVATHI,WHEAT,1,2000_ANDHRAPRADESH_GUNTUR_AMARAVATHI_WHEAT.xlsx
2000,UTTARPRADESH,UNNAO,HASANGANJ,PADDY,0,2000_UTTARPRADESH_UNNAO_HASANGANJ_PADDY.xlsx
2000,WESTBENGAL,NADIA,KRISHNAGANJ,WHEAT,0,2000_WESTBENGAL_NADIA_KRISHNAGANJ_WHEAT.xlsx
2000,UTTARPRADESH,BULANDSHAHAR,DIBAI,WHEAT,0,2000_UTTARPRADESH_BULANDSHAHAR_DIBAI_WHEAT.xlsx
2000,KERALA,ERNAKULAM,KOTHAMANGALAM,PADDY,0,2000_KERALA_ERNAKULAM_KOTHAMANGALAM_PADDY.xlsx
2000,GUJARAT,BHARUCH,BHARUCH,WHEAT,0,2000_GUJARAT_BHARUCH_BHARUCH_WHEAT.xlsx
2000,MAHARASHTRA,PUNE,DAUND,WHEAT,0,2000_MAHARASHTRA_PUNE_DAUND_WHEAT.xlsx
2000,UTTARPRADESH,MIRZAPUR,MARIHAN,WHEAT,0,2000_UTTARPRADESH_MIRZAPUR_MARIHAN_WHEAT.xlsx
2000,WESTBENGAL,BANKURA,ONDA,PADDY,0,2000_WESTBENGAL_BANKURA_ONDA_PADDY.xlsx
2000,MANIPUR,TAMENGLONG,NUNGBA,PADDY,0,2000_MANIPUR_TAMENGLONG_NUNGBA_PADDY.xlsx
2000,MAHARASHTRA,AURAGABAD,PHULAMBRI,WHEAT,0,2000_MAHARASHTRA_AURAGABAD_PHULAMBRI_WHEAT.xlsx
2000,RAJASTHAN,PALI,RAHAT,WHEAT,0,2000_RAJASTHAN_PALI_RAHAT_WHEAT.xlsx
2000,MADHYAPRADESH,BALAGHAT,KHERLANJI,WHEAT,0,2000_MADHYAPRADESH_BALAGHAT_KHERLANJI_WHEAT.xlsx
2000,HARYANA,JAJJAR,JAJJAR,PADDY,0,2000_HARYANA_JAJJAR_JAJJAR_PADDY.xlsx
2000,MADHYAPRADESH,NARSINGHPUR,GADERWATRA,WHEAT,0,2000_MADHYAPRADESH_NARSINGHPUR_GADERWATRA_WHEAT.xlsx
2000,UTTARPRADESH,BARELEY,AONLA,WHEAT,0,2000_UTTARPRADESH_BARELEY_AONLA_WHEAT.xlsx
2000,TAMILNADU,SIVAGANGA,DEVAKOTTAI,PADDY,0,2000_TAMILNADU_SIVAGANGA_DEVAKOTTAI_PADDY.xlsx
2000,TRIPURA,SOUTHTRIPURA,KILLA,PADDY,0,2000_TRIPURA_SOUTHTRIPURA_KILLA_PADDY.xlsx
2000,GUJARAT,PANCHMAHAL,MORVAHADAF,PADDY,0,2000_GUJARAT_PANCHMAHAL_MORVAHADAF_PADDY.xlsx
2000,HARYANA,FARIDABAD,FARIDABAD,PADDY,0,2000_HARYANA_FARIDABAD_FARIDABAD_PADDY.xlsx
2000,GUJARAT,MEHSANA,SATLASANA,PADDY,0,2000_GUJARAT_MEHSANA_SATLASANA_PADDY.xlsx
