Status key: 0 means file exported 1 means no record found 2 means crop doesn't exist
Year,State,District,Tehsil,Crop,Status,Filename
2010,A&NISLANDS,NICOBAR,CAMPBELLBAY,PADDY,0,2010_A&NISLANDS_NICOBAR_CAMPBELLBAY_PADDY.xlsx
2010,A&NISLANDS,NICOBAR,CAMPBELLBAY,WHEAT,0,2010_A&NISLANDS_NICOBAR_CAMPBELLBAY_WHEAT.xlsx
2010,A&NISLANDS,NICOBAR,CAMPBELLBAY,MAIZE,2,2010_A&NISLANDS_NICOBAR_CAMPBELLBAY_MAIZE.xlsx
2010,A&NISLANDS,NICOBAR,CAMPBELLBAY,SOYABEAN,1,2010_A&NISLANDS_NICOBAR_CAMPBELLBAY_SOYABEAN.xlsx
2010,A&NISLANDS,NICOBAR,CAMPBELLBAY,COTTON,0,2010_A&NISLANDS_NICOBAR_CAMPBELLBAY_COTTON.xlsx
2010,A&NISLANDS,NICOBAR,CAMPBELLBAY,GROUNDNUT,1,2010_A&NISLANDS_NICOBAR_CAMPBELLBAY_GROUNDNUT.xlsx
2010,A&NISLANDS,NICOBAR,CAMPBELLBAY,RAPESEEDANDMUSTARD,2,2010_A&NISLANDS_NICOBAR_CAMPBELLBAY_RAPESEEDANDMUSTARD.xlsx
2010,A&NISLANDS,NICOBAR,CAMPBELLBAY,BAJRA,2,2010_A&NISLANDS_NICOBAR_CAMPBELLBAY_BAJRA.xlsx
2010,A&NISLANDS,NICOBAR,CAMPBELLBAY,SUGARCANE,1,2010_A&NISLANDS_NICOBAR_CAMPBELLBAY_SUGARCANE.xlsx
2010,A&NISLANDS,NICOBAR,CAMPBELLBAY,JOWAR,2,2010_A&NISLANDS_NICOBAR_CAMPBELLBAY_JOWAR.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,DIGLIPUR,PADDY,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_DIGLIPUR_PADDY.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,DIGLIPUR,WHEAT,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_DIGLIPUR_WHEAT.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,DIGLIPUR,MAIZE,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_DIGLIPUR_MAIZE.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,DIGLIPUR,SOYABEAN,1,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_DIGLIPUR_SOYABEAN.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,DIGLIPUR,COTTON,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_DIGLIPUR_COTTON.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,DIGLIPUR,GROUNDNUT,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_DIGLIPUR_GROUNDNUT.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,DIGLIPUR,RAPESEEDANDMUSTARD,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_DIGLIPUR_RAPESEEDANDMUSTARD.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,DIGLIPUR,BAJRA,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_DIGLIPUR_BAJRA.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,DIGLIPUR,SUGARCANE,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_DIGLIPUR_SUGARCANE.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,DIGLIPUR,JOWAR,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_DIGLIPUR_JOWAR.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,MAYABUNDER,PADDY,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_MAYABUNDER_PADDY.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,MAYABUNDER,WHEAT,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_MAYABUNDER_WHEAT.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,MAYABUNDER,MAIZE,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_MAYABUNDER_MAIZE.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,MAYABUNDER,SOYABEAN,1,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_MAYABUNDER_SOYABEAN.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,MAYABUNDER,COTTON,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_MAYABUNDER_COTTON.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,MAYABUNDER,GROUNDNUT,1,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_MAYABUNDER_GROUNDNUT.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,MAYABUNDER,RAPESEEDANDMUSTARD,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_MAYABUNDER_RAPESEEDANDMUSTARD.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,MAYABUNDER,BAJRA,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_MAYABUNDER_BAJRA.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,MAYABUNDER,SUGARCANE,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_MAYABUNDER_SUGARCANE.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,MAYABUNDER,JOWAR,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_MAYABUNDER_JOWAR.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,RANGAT,PADDY,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_RANGAT_PADDY.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,RANGAT,WHEAT,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_RANGAT_WHEAT.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,RANGAT,MAIZE,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_RANGAT_MAIZE.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,RANGAT,SOYABEAN,1,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_RANGAT_SOYABEAN.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,RANGAT,COTTON,1,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_RANGAT_COTTON.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,RANGAT,GROUNDNUT,1,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_RANGAT_GROUNDNUT.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,RANGAT,RAPESEEDANDMUSTARD,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_RANGAT_RAPESEEDANDMUSTARD.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,RANGAT,BAJRA,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_RANGAT_BAJRA.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,RANGAT,SUGARCANE,0,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_RANGAT_SUGARCANE.xlsx
2010,A&NISLANDS,NORTH&MIDDLEANDAMANS,RANGAT,JOWAR,2,2010_A&NISLANDS_NORTH&MIDDLEANDAMANS_RANGAT_JOWAR.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,FERRARGUNJ,PADDY,0,2010_A&NISLANDS_SOUTHANDAMAN_FERRARGUNJ_PADDY.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,FERRARGUNJ,WHEAT,0,2010_A&NISLANDS_SOUTHANDAMAN_FERRARGUNJ_WHEAT.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,FERRARGUNJ,MAIZE,2,2010_A&NISLANDS_SOUTHANDAMAN_FERRARGUNJ_MAIZE.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,FERRARGUNJ,SOYABEAN,0,2010_A&NISLANDS_SOUTHANDAMAN_FERRARGUNJ_SOYABEAN.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,FERRARGUNJ,COTTON,0,2010_A&NISLANDS_SOUTHANDAMAN_FERRARGUNJ_COTTON.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,FERRARGUNJ,GROUNDNUT,1,2010_A&NISLANDS_SOUTHANDAMAN_FERRARGUNJ_GROUNDNUT.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,FERRARGUNJ,RAPESEEDANDMUSTARD,2,2010_A&NISLANDS_SOUTHANDAMAN_FERRARGUNJ_RAPESEEDANDMUSTARD.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,FERRARGUNJ,BAJRA,2,2010_A&NISLANDS_SOUTHANDAMAN_FERRARGUNJ_BAJRA.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,FERRARGUNJ,SUGARCANE,0,2010_A&NISLANDS_SOUTHANDAMAN_FERRARGUNJ_SUGARCANE.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,FERRARGUNJ,JOWAR,2,2010_A&NISLANDS_SOUTHANDAMAN_FERRARGUNJ_JOWAR.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,LITTLEANDAMAN,PADDY,0,2010_A&NISLANDS_SOUTHANDAMAN_LITTLEANDAMAN_PADDY.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,LITTLEANDAMAN,WHEAT,1,2010_A&NISLANDS_SOUTHANDAMAN_LITTLEANDAMAN_WHEAT.xlsx
2010,A&NISLANDS,SOUTHANDAMAN,LITTLEANDAMAN,MAIZE,2,2010_A&NISLANDS_SOUTHANDAMAN_LITTLEANDAMAN_MAIZE.xlsx
